id,county,geo_id,measles10,measles11,measles12,measles13,measles14,measles15
1,Alameda,6001,2,1,0,1,6,0
2,Alpine,6003,0,0,0,0,0,0
3,Amador,6005,1,0,0,0,0,0
4,Butte,6007,0,0,0,0,0,0
5,Calaveras,6009,0,0,0,0,0,0
6,Colusa,6011,0,0,0,0,0,0
7,Contra Costa,6013,1,0,0,0,4,0
8,Del Norte,6015,0,0,0,0,0,0
9,El Dorado,6017,0,0,0,0,0,0
10,Fresno,6019,0,0,0,0,0,0
11,Glenn,6021,0,0,0,0,0,0
12,Humboldt,6023,0,1,0,0,1,0
13,Imperial,6025,0,0,0,0,0,0
14,Inyo,6027,0,0,0,0,0,0
15,Kern,6029,0,0,0,0,0,0
16,Kings,6031,0,0,0,0,0,0
17,Lake,6033,0,0,0,0,0,0
18,Lassen,6035,0,0,0,0,0,0
19,Los Angeles,6037,8,8,6,3,14,21
20,Madera,6039,0,0,0,0,0,0
21,Marin,6041,0,0,0,0,0,2
22,Mariposa,6043,0,0,0,0,0,0
23,Mendocino,6045,0,3,0,1,0,0
24,Merced,6047,0,2,0,0,0,1
25,Modoc,6049,0,0,0,0,0,0
26,Mono,6051,0,0,0,0,0,0
27,Monterey,6053,0,0,0,1,2,0
28,Napa,6055,0,0,0,0,0,0
29,Nevada,6057,0,0,0,0,0,0
30,Orange,6059,2,1,0,2,24,11
31,Placer,6061,0,0,0,0,0,0
32,Plumas,6063,0,0,0,0,0,0
33,Riverside,6065,0,1,1,1,6,2
34,Sacramento,6067,0,1,0,0,0,0
35,San Benito,6069,0,1,0,0,0,0
36,San Bernardino,6071,1,0,0,0,1,11
37,San Diego,6073,5,4,0,2,6,8
38,San Francisco,6075,2,0,0,3,0,0
39,San Joaquin,6077,0,0,0,0,1,0
40,San Luis Obispo,6079,0,1,0,0,0,0
41,San Mateo,6081,0,1,1,0,4,0
42,Santa Barbara,6083,0,0,0,0,2,0
43,Santa Clara,6085,5,4,0,0,0,3
44,Santa Cruz,6087,0,0,0,3,1,0
45,Shasta,6089,0,0,0,0,0,0
46,Sierra,6091,0,0,0,0,0,0
47,Siskiyou,6093,0,0,0,0,0,0
48,Solano,6095,0,0,0,0,0,1
49,Sonoma,6097,0,1,0,0,0,0
50,Stanislaus,6099,0,1,0,0,0,0
51,Sutter,6101,0,0,0,0,0,0
52,Tehama,6103,0,0,0,0,0,0
53,Trinity,6105,0,0,0,0,0,0
54,Tulare,6107,0,0,0,0,0,0
55,Tuolumne,6109,0,0,0,0,0,0
56,Ventura,6111,0,0,0,1,3,10
57,Yolo,6113,0,0,0,0,0,1
58,Yuba,6115,0,1,0,0,0,0
