state,st,disease,cases1993,cases1994,cases1995,cases1996,cases1997,cases1998,cases1999,cases2000,cases2001,cases2002,cases2003,cases2004,cases2005,cases2006,cases2007,cases2008,cases2009,cases2010,cases2011,cases2012,cases2013
USA,USA,Hepatitis B,13361,12517,10805,,,,,,,,,,,,,,,,,,
Maine,ME,Hepatitis B,11,11,12,,,,,,,,,,,,,,,,,,
New Hampshire,NH,Hepatitis B,27,28,23,,,,,,,,,,,,,,,,,,
Vermont,VT,Hepatitis B,10,12,7,,,,,,,,,,,,,,,,,,
Massachusetts,MA,Hepatitis B,214,200,114,,,,,,,,,,,,,,,,,,
Rhode Island,RI,Hepatitis B,19,8,10,,,,,,,,,,,,,,,,,,
Connecticut,CT,Hepatitis B,75,95,86,,,,,,,,,,,,,,,,,,
New York (exc NYC),NY,Hepatitis B,457,402,414,,,,,,,,,,,,,,,,,,
NYC,NYC,Hepatitis B,353,543,524,,,,,,,,,,,,,,,,,,
New York (inc NYC),NY,Hepatitis B,810,945,938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,Hepatitis B,407,410,368,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,Hepatitis B,357,406,293,,,,,,,,,,,,,,,,,,
Ohio,OH,Hepatitis B,192,164,116,,,,,,,,,,,,,,,,,,
Indiana,IN,Hepatitis B,249,215,241,,,,,,,,,,,,,,,,,,
Illinois,IL,Hepatitis B,344,315,293,,,,,,,,,,,,,,,,,,
Michigan,MI,Hepatitis B,393,432,398,,,,,,,,,,,,,,,,,,
Wisconsin,WI,Hepatitis B,319,95,82,,,,,,,,,,,,,,,,,,
Minnesota,MN,Hepatitis B,96,82,93,,,,,,,,,,,,,,,,,,
Iowa,IA,Hepatitis B,36,27,46,,,,,,,,,,,,,,,,,,
Missouri,MO,Hepatitis B,585,538,437,,,,,,,,,,,,,,,,,,
North Dakota,ND,Hepatitis B,1,1,5,,,,,,,,,,,,,,,,,,
South Dakota,SD,Hepatitis B,0,4,2,,,,,,,,,,,,,,,,,,
Nebraska,NE,Hepatitis B,19,31,39,,,,,,,,,,,,,,,,,,
Kansas,KS,Hepatitis B,65,31,53,,,,,,,,,,,,,,,,,,
Delaware,DE,Hepatitis B,18,14,9,,,,,,,,,,,,,,,,,,
Maryland,MD,Hepatitis B,265,354,262,,,,,,,,,,,,,,,,,,
"Washington, DC",DC,Hepatitis B,43,53,21,,,,,,,,,,,,,,,,,,
Virginia,VA,Hepatitis B,157,142,118,,,,,,,,,,,,,,,,,,
West Virginia,WV,Hepatitis B,44,48,53,,,,,,,,,,,,,,,,,,
North Carolina,NC,Hepatitis B,315,291,311,,,,,,,,,,,,,,,,,,
South Carolina,SC,Hepatitis B,51,33,56,,,,,,,,,,,,,,,,,,
Georgia,GA,Hepatitis B,670,555,103,,,,,,,,,,,,,,,,,,
Florida,FL,Hepatitis B,845,750,666,,,,,,,,,,,,,,,,,,
Kentucky,KY,Hepatitis B,99,78,69,,,,,,,,,,,,,,,,,,
Tennessee,TN,Hepatitis B,1152,1042,647,,,,,,,,,,,,,,,,,,
Alabama,AL,Hepatitis B,107,91,114,,,,,,,,,,,,,,,,,,
Mississippi,MS,Hepatitis B,390,0,NA,,,,,,,,,,,,,,,,,,
Arkansas,AR,Hepatitis B,90,60,83,,,,,,,,,,,,,,,,,,
Louisiana,LA,Hepatitis B,269,203,243,,,,,,,,,,,,,,,,,,
Oklahoma,OK,Hepatitis B,195,141,173,,,,,,,,,,,,,,,,,,
Texas,TX,Hepatitis B,1355,1426,1213,,,,,,,,,,,,,,,,,,
Montana,MT,Hepatitis B,28,21,24,,,,,,,,,,,,,,,,,,
Idaho,ID,Hepatitis B,89,77,102,,,,,,,,,,,,,,,,,,
Wyoming,WY,Hepatitis B,34,24,33,,,,,,,,,,,,,,,,,,
Colorado,CO,Hepatitis B,81,97,138,,,,,,,,,,,,,,,,,,
New Mexico,NM,Hepatitis B,215,218,321,,,,,,,,,,,,,,,,,,
Arizona,AZ,Hepatitis B,96,102,121,,,,,,,,,,,,,,,,,,
Utah,UT,Hepatitis B,69,96,75,,,,,,,,,,,,,,,,,,
Nevada,NV,Hepatitis B,74,59,65,,,,,,,,,,,,,,,,,,
Washington,WA,Hepatitis B,247,255,226,,,,,,,,,,,,,,,,,,
Oregon,OR,Hepatitis B,221,158,129,,,,,,,,,,,,,,,,,,
California,CA,Hepatitis B,1876,2038,1729,,,,,,,,,,,,,,,,,,
Alaska,AK,Hepatitis B,15,13,13,,,,,,,,,,,,,,,,,,
Hawaii,HI,Hepatitis B,22,28,32,,,,,,,,,,,,,,,,,,
USA,USA,Measles,312,746,281,,,,,,,,,,,,,,,,,,
Maine,ME,Measles,1,2,0,,,,,,,,,,,,,,,,,,
New Hampshire,NH,Measles,2,1,0,,,,,,,,,,,,,,,,,,
Vermont,VT,Measles,30,2,0,,,,,,,,,,,,,,,,,,
Massachusetts,MA,Measles,11,1,3,,,,,,,,,,,,,,,,,,
Rhode Island,RI,Measles,1,5,6,,,,,,,,,,,,,,,,,,
Connecticut,CT,Measles,9,4,1,,,,,,,,,,,,,,,,,,
New York (exc NYC),NY,Measles,4,60,1,,,,,,,,,,,,,,,,,,
NYC,NYC,Measles,12,11,2,,,,,,,,,,,,,,,,,,
New York (inc NYC),NY,Measles,16,71,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,Measles,6,172,6,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,Measles,0,5,0,,,,,,,,,,,,,,,,,,
Ohio,OH,Measles,6,15,1,,,,,,,,,,,,,,,,,,
Indiana,IN,Measles,1,0,0,,,,,,,,,,,,,,,,,,
Illinois,IL,Measles,5,18,0,,,,,,,,,,,,,,,,,,
Michigan,MI,Measles,5,24,4,,,,,,,,,,,,,,,,,,
Wisconsin,WI,Measles,3,3,6,,,,,,,,,,,,,,,,,,
Minnesota,MN,Measles,0,0,9,,,,,,,,,,,,,,,,,,
Iowa,IA,Measles,0,6,0,,,,,,,,,,,,,,,,,,
Missouri,MO,Measles,1,119,2,,,,,,,,,,,,,,,,,,
North Dakota,ND,Measles,0,0,0,,,,,,,,,,,,,,,,,,
South Dakota,SD,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Nebraska,NE,Measles,0,1,0,,,,,,,,,,,,,,,,,,
Kansas,KS,Measles,0,1,1,,,,,,,,,,,,,,,,,,
Delaware,DE,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Maryland,MD,Measles,0,2,0,,,,,,,,,,,,,,,,,,
"Washington, DC",DC,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Virginia,VA,Measles,0,1,0,,,,,,,,,,,,,,,,,,
West Virginia,WV,Measles,0,37,0,,,,,,,,,,,,,,,,,,
North Carolina,NC,Measles,1,2,0,,,,,,,,,,,,,,,,,,
South Carolina,SC,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Georgia,GA,Measles,0,5,4,,,,,,,,,,,,,,,,,,
Florida,FL,Measles,24,18,10,,,,,,,,,,,,,,,,,,
Kentucky,KY,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Tennessee,TN,Measles,0,28,0,,,,,,,,,,,,,,,,,,
Alabama,AL,Measles,1,0,0,,,,,,,,,,,,,,,,,,
Mississippi,MS,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Arkansas,AR,Measles,0,5,2,,,,,,,,,,,,,,,,,,
Louisiana,LA,Measles,1,0,17,,,,,,,,,,,,,,,,,,
Oklahoma,OK,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Texas,TX,Measles,7,11,12,,,,,,,,,,,,,,,,,,
Montana,MT,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Idaho,ID,Measles,0,1,1,,,,,,,,,,,,,,,,,,
Wyoming,WY,Measles,0,0,0,,,,,,,,,,,,,,,,,,
Colorado,CO,Measles,3,24,26,,,,,,,,,,,,,,,,,,
New Mexico,NM,Measles,0,2,30,,,,,,,,,,,,,,,,,,
Arizona,AZ,Measles,0,5,10,,,,,,,,,,,,,,,,,,
Utah,UT,Measles,0,131,0,,,,,,,,,,,,,,,,,,
Nevada,NV,Measles,1,0,1,,,,,,,,,,,,,,,,,,
Washington,WA,Measles,0,3,20,,,,,,,,,,,,,,,,,,
Oregon,OR,Measles,0,0,0,,,,,,,,,,,,,,,,,,
California,CA,Measles,89,51,106,,,,,,,,,,,,,,,,,,
Alaska,AK,Measles,2,10,0,,,,,,,,,,,,,,,,,,
Hawaii,HI,Measles,11,8,0,,,,,,,,,,,,,,,,,,
USA,USA,Mumps,1692,1537,906,,,,,,,,,,,,,,,,,,
Maine,ME,Mumps,0,3,4,,,,,,,,,,,,,,,,,,
New Hampshire,NH,Mumps,3,4,1,,,,,,,,,,,,,,,,,,
Vermont,VT,Mumps,1,0,0,,,,,,,,,,,,,,,,,,
Massachusetts,MA,Mumps,1,3,3,,,,,,,,,,,,,,,,,,
Rhode Island,RI,Mumps,2,4,1,,,,,,,,,,,,,,,,,,
Connecticut,CT,Mumps,8,12,4,,,,,,,,,,,,,,,,,,
New York (exc NYC),NY,Mumps,46,105,33,,,,,,,,,,,,,,,,,,
NYC,NYC,Mumps,2,12,17,,,,,,,,,,,,,,,,,,
New York (inc NYC),NY,Mumps,48,117,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,Mumps,17,13,21,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,Mumps,70,58,63,,,,,,,,,,,,,,,,,,
Ohio,OH,Mumps,74,77,54,,,,,,,,,,,,,,,,,,
Indiana,IN,Mumps,8,7,10,,,,,,,,,,,,,,,,,,
Illinois,IL,Mumps,74,110,48,,,,,,,,,,,,,,,,,,
Michigan,MI,Mumps,80,59,60,,,,,,,,,,,,,,,,,,
Wisconsin,WI,Mumps,23,14,0,,,,,,,,,,,,,,,,,,
Minnesota,MN,Mumps,2,5,11,,,,,,,,,,,,,,,,,,
Iowa,IA,Mumps,11,16,11,,,,,,,,,,,,,,,,,,
Missouri,MO,Mumps,46,44,25,,,,,,,,,,,,,,,,,,
North Dakota,ND,Mumps,6,4,1,,,,,,,,,,,,,,,,,,
South Dakota,SD,Mumps,0,0,0,,,,,,,,,,,,,,,,,,
Nebraska,NE,Mumps,1,1,4,,,,,,,,,,,,,,,,,,
Kansas,KS,Mumps,1,1,0,,,,,,,,,,,,,,,,,,
Delaware,DE,Mumps,1,0,0,,,,,,,,,,,,,,,,,,
Maryland,MD,Mumps,82,65,41,,,,,,,,,,,,,,,,,,
"Washington, DC",DC,Mumps,1,0,0,,,,,,,,,,,,,,,,,,
Virginia,VA,Mumps,40,48,28,,,,,,,,,,,,,,,,,,
West Virginia,WV,Mumps,23,5,0,,,,,,,,,,,,,,,,,,
North Carolina,NC,Mumps,231,73,42,,,,,,,,,,,,,,,,,,
South Carolina,SC,Mumps,17,8,13,,,,,,,,,,,,,,,,,,
Georgia,GA,Mumps,20,18,11,,,,,,,,,,,,,,,,,,
Florida,FL,Mumps,48,40,28,,,,,,,,,,,,,,,,,,
Kentucky,KY,Mumps,0,0,0,,,,,,,,,,,,,,,,,,
Tennessee,TN,Mumps,19,9,5,,,,,,,,,,,,,,,,,,
Alabama,AL,Mumps,22,12,5,,,,,,,,,,,,,,,,,,
Mississippi,MS,Mumps,17,11,10,,,,,,,,,,,,,,,,,,
Arkansas,AR,Mumps,10,7,7,,,,,,,,,,,,,,,,,,
Louisiana,LA,Mumps,20,38,15,,,,,,,,,,,,,,,,,,
Oklahoma,OK,Mumps,13,23,1,,,,,,,,,,,,,,,,,,
Texas,TX,Mumps,231,234,43,,,,,,,,,,,,,,,,,,
Montana,MT,Mumps,0,0,1,,,,,,,,,,,,,,,,,,
Idaho,ID,Mumps,6,10,4,,,,,,,,,,,,,,,,,,
Wyoming,WY,Mumps,5,3,0,,,,,,,,,,,,,,,,,,
Colorado,CO,Mumps,18,4,3,,,,,,,,,,,,,,,,,,
New Mexico,NM,Mumps,NN,NN,NN,,,,,,,,,,,,,,,,,,
Arizona,AZ,Mumps,19,99,2,,,,,,,,,,,,,,,,,,
Utah,UT,Mumps,6,28,11,,,,,,,,,,,,,,,,,,
Nevada,NV,Mumps,27,18,12,,,,,,,,,,,,,,,,,,
Washington,WA,Mumps,14,23,16,,,,,,,,,,,,,,,,,,
Oregon,OR,Mumps,NN,NN,NN,,,,,,,,,,,,,,,,,,
California,CA,Mumps,285,258,211,,,,,,,,,,,,,,,,,,
Alaska,AK,Mumps,11,4,12,,,,,,,,,,,,,,,,,,
Hawaii,HI,Mumps,30,19,14,,,,,,,,,,,,,,,,,,
USA,USA,Pertussis,6586,4617,5137,,,,,,,,,,,,,,,,,,
Maine,ME,Pertussis,20,21,47,,,,,,,,,,,,,,,,,,
New Hampshire,NH,Pertussis,168,107,70,,,,,,,,,,,,,,,,,,
Vermont,VT,Pertussis,122,46,81,,,,,,,,,,,,,,,,,,
Massachusetts,MA,Pertussis,408,534,492,,,,,,,,,,,,,,,,,,
Rhode Island,RI,Pertussis,14,8,7,,,,,,,,,,,,,,,,,,
Connecticut,CT,Pertussis,102,44,34,,,,,,,,,,,,,,,,,,
New York (exc NYC),NY,Pertussis,373,33,253,,,,,,,,,,,,,,,,,,
NYC,NYC,Pertussis,116,224,67,,,,,,,,,,,,,,,,,,
New York (inc NYC),NY,Pertussis,489,257,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,Pertussis,85,15,20,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,Pertussis,417,202,129,,,,,,,,,,,,,,,,,,
Ohio,OH,Pertussis,523,162,175,,,,,,,,,,,,,,,,,,
Indiana,IN,Pertussis,178,97,76,,,,,,,,,,,,,,,,,,
Illinois,IL,Pertussis,434,111,155,,,,,,,,,,,,,,,,,,
Michigan,MI,Pertussis,116,96,103,,,,,,,,,,,,,,,,,,
Wisconsin,WI,Pertussis,376,149,158,,,,,,,,,,,,,,,,,,
Minnesota,MN,Pertussis,393,142,238,,,,,,,,,,,,,,,,,,
Iowa,IA,Pertussis,38,23,11,,,,,,,,,,,,,,,,,,
Missouri,MO,Pertussis,144,45,63,,,,,,,,,,,,,,,,,,
North Dakota,ND,Pertussis,5,5,8,,,,,,,,,,,,,,,,,,
South Dakota,SD,Pertussis,8,26,12,,,,,,,,,,,,,,,,,,
Nebraska,NE,Pertussis,14,14,14,,,,,,,,,,,,,,,,,,
Kansas,KS,Pertussis,24,18,23,,,,,,,,,,,,,,,,,,
Delaware,DE,Pertussis,11,3,10,,,,,,,,,,,,,,,,,,
Maryland,MD,Pertussis,133,74,49,,,,,,,,,,,,,,,,,,
"Washington, DC",DC,Pertussis,14,11,8,,,,,,,,,,,,,,,,,,
Virginia,VA,Pertussis,75,37,31,,,,,,,,,,,,,,,,,,
West Virginia,WV,Pertussis,8,6,1,,,,,,,,,,,,,,,,,,
North Carolina,NC,Pertussis,199,140,137,,,,,,,,,,,,,,,,,,
South Carolina,SC,Pertussis,73,14,28,,,,,,,,,,,,,,,,,,
Georgia,GA,Pertussis,56,37,30,,,,,,,,,,,,,,,,,,
Florida,FL,Pertussis,104,109,94,,,,,,,,,,,,,,,,,,
Kentucky,KY,Pertussis,38,60,27,,,,,,,,,,,,,,,,,,
Tennessee,TN,Pertussis,183,22,209,,,,,,,,,,,,,,,,,,
Alabama,AL,Pertussis,65,35,38,,,,,,,,,,,,,,,,,,
Mississippi,MS,Pertussis,1,12,3,,,,,,,,,,,,,,,,,,
Arkansas,AR,Pertussis,18,33,59,,,,,,,,,,,,,,,,,,
Louisiana,LA,Pertussis,14,15,22,,,,,,,,,,,,,,,,,,
Oklahoma,OK,Pertussis,86,38,44,,,,,,,,,,,,,,,,,,
Texas,TX,Pertussis,121,160,217,,,,,,,,,,,,,,,,,,
Montana,MT,Pertussis,11,12,9,,,,,,,,,,,,,,,,,,
Idaho,ID,Pertussis,101,172,116,,,,,,,,,,,,,,,,,,
Wyoming,WY,Pertussis,2,0,1,,,,,,,,,,,,,,,,,,
Colorado,CO,Pertussis,187,228,149,,,,,,,,,,,,,,,,,,
New Mexico,NM,Pertussis,43,35,148,,,,,,,,,,,,,,,,,,
Arizona,AZ,Pertussis,70,122,164,,,,,,,,,,,,,,,,,,
Utah,UT,Pertussis,45,37,37,,,,,,,,,,,,,,,,,,
Nevada,NV,Pertussis,5,3,119,,,,,,,,,,,,,,,,,,
Washington,WA,Pertussis,91,140,491,,,,,,,,,,,,,,,,,,
Oregon,OR,Pertussis,106,106,67,,,,,,,,,,,,,,,,,,
California,CA,Pertussis,619,594,531,,,,,,,,,,,,,,,,,,
Alaska,AK,Pertussis,5,0,1,,,,,,,,,,,,,,,,,,
Hawaii,HI,Pertussis,14,19,61,,,,,,,,,,,,,,,,,,
USA,USA,Varicella,134722,151219,120624,,,,,,,,,,,,,,,,,,
Maine,ME,Varicella,1733,711,NA,,,,,,,,,,,,,,,,,,
New Hampshire,NH,Varicella,1635,3408,NA,,,,,,,,,,,,,,,,,,
Vermont,VT,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Massachusetts,MA,Varicella,6619,5903,NA,,,,,,,,,,,,,,,,,,
Rhode Island,RI,Varicella,2668,1654,NA,,,,,,,,,,,,,,,,,,
Connecticut,CT,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
New York (exc NYC),NY,Varicella,NA,NN,NA,,,,,,,,,,,,,,,,,,
NYC,NYC,Varicella,4773,5978,NA,,,,,,,,,,,,,,,,,,
New York (inc NYC),NY,Varicella,NA + 4773,NN + 5978,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Pennsylvania,PA,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Ohio,OH,Varicella,5472,5495,NA,,,,,,,,,,,,,,,,,,
Indiana,IN,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Illinois,IL,Varicella,26447,33889,NA,,,,,,,,,,,,,,,,,,
Michigan,MI,Varicella,32461,37948,NA,,,,,,,,,,,,,,,,,,
Wisconsin,WI,Varicella,NA,NA,NA,,,,,,,,,,,,,,,,,,
Minnesota,MN,Varicella,NN,4197,NA,,,,,,,,,,,,,,,,,,
Iowa,IA,Varicella,5057,10147,NA,,,,,,,,,,,,,,,,,,
Missouri,MO,Varicella,9609,48,NA,,,,,,,,,,,,,,,,,,
North Dakota,ND,Varicella,37,619,NA,,,,,,,,,,,,,,,,,,
South Dakota,SD,Varicella,420,2,NA,,,,,,,,,,,,,,,,,,
Nebraska,NE,Varicella,4,3197,NA,,,,,,,,,,,,,,,,,,
Kansas,KS,Varicella,1687,8653,NA,,,,,,,,,,,,,,,,,,
Delaware,DE,Varicella,3,2,NA,,,,,,,,,,,,,,,,,,
Maryland,MD,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
"Washington, DC",DC,Varicella,4,16,NA,,,,,,,,,,,,,,,,,,
Virginia,VA,Varicella,2917,2844,NA,,,,,,,,,,,,,,,,,,
West Virginia,WV,Varicella,5288,5656,NA,,,,,,,,,,,,,,,,,,
North Carolina,NC,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
South Carolina,SC,Varicella,120,135,NA,,,,,,,,,,,,,,,,,,
Georgia,GA,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Florida,FL,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Kentucky,KY,Varicella,1429,984,NA,,,,,,,,,,,,,,,,,,
Tennessee,TN,Varicella,2552,3717,NA,,,,,,,,,,,,,,,,,,
Alabama,AL,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Mississippi,MS,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Arkansas,AR,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Louisiana,LA,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Oklahoma,OK,Varicella,0,NN,NA,,,,,,,,,,,,,,,,,,
Texas,TX,Varicella,14291,16159,NA,,,,,,,,,,,,,,,,,,
Montana,MT,Varicella,84,53,NA,,,,,,,,,,,,,,,,,,
Idaho,ID,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Wyoming,WY,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Colorado,CO,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
New Mexico,NM,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Arizona,AZ,Varicella,6811,6783,NA,,,,,,,,,,,,,,,,,,
Utah,UT,Varicella,297,450,NA,,,,,,,,,,,,,,,,,,
Nevada,NV,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Washington,WA,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Oregon,OR,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
California,CA,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Alaska,AK,Varicella,NN,NN,NA,,,,,,,,,,,,,,,,,,
Hawaii,HI,Varicella,2303,1224,NA,,,,,,,,,,,,,,,,,,
